course_name,theory_credits,practical_credits,total_credits,note,class
Giáo dục thể chất 1,0,1,1,,"25AI,25AI-DL"
Lập trình hướng đối tượng,2,1,3,,"25AI,25AI-DL"
Cơ sở dữ liệu,2.5,0.5,3,,"25AI,25AI-DL"
Tiếng Anh chuyên ngành 1,1,1,2,,"25AI,25AI-DL"
TỔNG,11,5,19,,
,,,,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,0,2,,24MT
Tiếng Anh 3,2,0,2,,24MT
Mỹ học đại cương,2,0,2,,24MT
Lịch sử mỹ thuật Việt nam và thế giới,2,0,2,,24MT
Giáo dục thể chất 2,0,1,1,,24MT
Nguyên lý thị giác,1,1,2,,24MT
Đồ án cơ sở 2 (IT),0,1,1,,24MT
Cơ sở dữ liệu,2.5,0.5,3,,24MT
Phân tích và thiết kế hệ thống,3,0,3,,24MT
Đồ họa 2D,1,1,2,,24MT
Tiếng Hàn 2,3,0,3,Tự chọn,24MT
TỔNG,16.5,4.5,21,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,,2,,24DA
Tiếng Anh 3,2,,2,,24DA
Mỹ học đại cương,2,,2,,24DA
Lịch sử mỹ thuật Việt nam và thế giới,2,,2,,24DA
Giáo dục thể chất 2,,1,1,,24DA
Luật xa gần,1,1,2,,24DA
Nguyên lý thị giác,1,1,2,,24DA
Đồ án cơ sở 2 (IT),,1,1,,24DA
Đồ họa 2D,1,1,2,,24DA
Chất liệu tạo hình,1,1,2,,24DA
Tiếng Hàn 2,3,0,3,Tự chọn,24DA
TỔNG,13,6,19,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Pháp luật đại cương,2,0,2,,"25MT, 25DA"
Tiếng Anh 1,3,0,3,,"25MT, 25DA"
Nhập môn ngành và kỹ năng mềm,1,1,2,,"25MT, 25DA"
Lập trình cơ bản,2,1,3,,"25MT, 25DA"
Hình họa 1,1,1,2,,"25MT, 25DA"
Cơ sở tạo hình 1,1,1,2,,"25MT, 25DA"
Giải phẫu tạo hình,1,1,2,,"25MT, 25DA"
Tiếng Anh chuyên ngành 1 (IT),1,1,2,,"25MT, 25DA"
TỔNG,12,6,18,,
,,,,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Thực tập tốt nghiệp (CE),0,3,3,,21CE1->2
Đồ án tốt nghiệp (CE),0,10,10,,21CE1->2
TỔNG,0,13,13,,
,,,,,
Chuyên ngành Hệ thống nhúng và IoT,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Kinh tế chính trị Mác - Lênin,2,0,2,,22ES-KS
Tư tưởng Hồ Chí Minh,2,0,2,,22ES-KS
Chương trình dịch,2,0,2,,22ES-KS
Chuyên đề 3 (CE),2,0,2,Lập trình ô tô,22ES-KS
Đồ án chuyên ngành 2 (CE),0,1,1,,22ES-KS
Thực tập doanh nghiệp (CE),0,0,3,,22ES-KS
Thiết kế VLSI,2,1,3,,22ES-KS
Lập trình Python cho hệ thống nhúng,2,1,3,,22ES-KS
TỔNG,12,3,18,,
Chuyên ngành Thiết kế vi mạch bán dẫn,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
